anio,sexo,porc_poblacion,grupos_actividad
2016,TOTAL,49.14036509651854,Trabajo para el mercado
2016,TOTAL,86.81027906681074,Trabajo doméstico no remunerado
2016,TOTAL,8.40047782510118,Servicios a la comunidad y ayudas no pagas
2016,TOTAL,16.63585348109536,Educación
2016,TOTAL,88.29425621031368,Convivencia social y actividades recreativas
2016,TOTAL,76.2,Uso de medios de comunicación
2016,TOTAL,26.494042195523352,Trabajo de cuidado no remunerado a miembros del hogar
2016,TOTAL,100.0,Cuidado personal
2016,m,42.82019103733207,Trabajo para el mercado
2016,m,90.77317789342095,Trabajo doméstico no remunerado
2016,m,10.140580735400054,Servicios a la comunidad y ayudas no pagas
2016,m,17.1,Educación
2016,m,86.80157830301737,Convivencia social y actividades recreativas
2016,m,75.3,Uso de medios de comunicación
2016,m,30.833115291062214,Trabajo de cuidado no remunerado a miembros del hogar
2016,m,100.0,Cuidado personal
2016,v,56.76104119683885,Trabajo para el mercado
2016,v,82.03193465839381,Trabajo doméstico no remunerado
2016,v,6.3023139871388905,Servicios a la comunidad y ayudas no pagas
2016,v,15.939090841814576,Educación
2016,v,90.09408240925751,Convivencia social y actividades recreativas
2016,v,77.25390760410215,Uso de medios de comunicación
2016,v,21.262118149277686,Trabajo de cuidado no remunerado a miembros del hogar
2016,v,100.0,Cuidado personal
